'CMO-A','NYSE'  
'CMO-B','NYSE'  
'CRR','NYSE'    
'CAH','NYSE'    
'CFN','NYSE'    
'CSL','NYSE'    
'KMX','NYSE'    
'CCL','NYSE'    
'CUK','NYSE'    
'CRS','NYSE'    
'CSV','NYSE'    
'CRI','NYSE'    
'CASC','NYSE'   
'CSH','NYSE'    
'CAS','NYSE'    
'CAT','NYSE'    
'CATO','NYSE'   
'CBZ','NYSE'    
'CBL','NYSE'    
'CBL-C','NYSE'  
'CBL-D','NYSE'  
'CBO','NYSE'    
'IGR','NYSE'    
'CBG','NYSE'    
'CBS','NYSE'    
'CBS-A','NYSE'  
'CPV','NYSE'    
'CBX','NYSE'    
'CDI','NYSE'    
'CEC','NYSE'    
'FUN','NYSE'    
'CDR','NYSE'    
'CDR-A','NYSE'  
'CGI','NYSE'    
'CE','NYSE'     
'CLS','NYSE'    
'CEL','NYSE'    
'CX','NYSE'     
'CVE','NYSE'    
'CNC','NYSE'    
'CNP','NYSE'    
'EBR','NYSE'    
'EBR-B','NYSE'  
'CEE','NYSE'    
'CV','NYSE'     
'CTL','NYSE'    
'CVO','NYSE'    
'CF','NYSE'     
'GIB','NYSE'    
'CHG','NYSE'    
'CRL','NYSE'    
'CLDT','NYSE'   
'CKP','NYSE'    
'CHE','NYSE'    
'CHMT','NYSE'   
'CHK','NYSE'    
'CHK-D','NYSE'  
'CHKR','NYSE'   
'CHSP','NYSE'   
'CHKM','NYSE'   
'CPK','NYSE'    
'CVX','NYSE'    
'CBI','NYSE'    
'CHS','NYSE'    
'CIM','NYSE'    
'CO','NYSE'     
'STV','NYSE'    
'DL','NYSE'     
'CEA','NYSE'    
'CEU','NYSE'    
'CHN','NYSE'    
'CGA','NYSE'    
'CHC','NYSE'    
'CHC-WS','NYSE' 
'KH','NYSE'     
'LFC','NYSE'    
'CMM','NYSE'    
'MY','NYSE'     
'CHL','NYSE'    
'NPD','NYSE'    
'BORN','NYSE'   
'SNP','NYSE'    
'ZNH','NYSE'    
'CHA','NYSE'    
'CHU','NYSE'    
'XNY','NYSE'    
'CYD','NYSE'    
'ZX','NYSE'     
'CMG','NYSE'    
'CQB','NYSE'    
'CHH','NYSE'    
'CBK','NYSE'    
'CB','NYSE'     
'CHT','NYSE'    
'CHD','NYSE'    
'CBR','NYSE'    
'CI','NYSE'     
'HIS','NYSE'    
'XEC','NYSE'    
'CBB','NYSE'    
'CBB-B','NYSE'  
'CNK','NYSE'    
'CIR','NYSE'    
'CIT','NYSE'    
'BLW','NYSE'    
'C','NYSE'      
'C-WS-A','NYSE' 
'C-WS-B','NYSE' 
'C-E','NYSE'    
